name,party,votes,ward,status,constituency
S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,563216,ARAKKONAM - 7,Won,Tamil Nadu
L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,256657,ARAKKONAM - 7,Lost,Tamil Nadu
K BALU,Pattali Makkal Katchi,202325,ARAKKONAM - 7,Lost,Tamil Nadu
S AFSHIA NASRIN,Naam Tamilar Katchi,98944,ARAKKONAM - 7,Lost,Tamil Nadu
D PANDIYAN,Bahujan Samaj Party,6212,ARAKKONAM - 7,Lost,Tamil Nadu
A PALANI,Independent,3866,ARAKKONAM - 7,Lost,Tamil Nadu
K MANIGANDAN,Independent,2049,ARAKKONAM - 7,Lost,Tamil Nadu
INDU W,Tamil Manila Murpokku Dravida Kazhagam,1938,ARAKKONAM - 7,Lost,Tamil Nadu
DR A V NARENDRAN,Independent,1722,ARAKKONAM - 7,Lost,Tamil Nadu
M VIJAYAN,Independent,1678,ARAKKONAM - 7,Lost,Tamil Nadu
M BALU,Independent,1561,ARAKKONAM - 7,Lost,Tamil Nadu
SHETTU S,Independent,1561,ARAKKONAM - 7,Lost,Tamil Nadu
V BABU,United Republican Party of India,1366,ARAKKONAM - 7,Lost,Tamil Nadu
M THULASIRAMAN,Independent,1053,ARAKKONAM - 7,Lost,Tamil Nadu
D JANAKIRAMAN,Independent,837,ARAKKONAM - 7,Lost,Tamil Nadu
S SURESH KUMAR,Independent,835,ARAKKONAM - 7,Lost,Tamil Nadu
R VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,821,ARAKKONAM - 7,Lost,Tamil Nadu
V VINAYAGAM,Independent,729,ARAKKONAM - 7,Lost,Tamil Nadu
VIJAYAN K,All India Jananayaka Makkal Kazhagam,633,ARAKKONAM - 7,Lost,Tamil Nadu
SHANAVAS J,Independent,583,ARAKKONAM - 7,Lost,Tamil Nadu
V KRISHNANANDAN,Anna MGR Dravida Makkal Kalgam,582,ARAKKONAM - 7,Lost,Tamil Nadu
A JAYACHANDRAN,Independent,538,ARAKKONAM - 7,Lost,Tamil Nadu
N SUGUMAR,Independent,432,ARAKKONAM - 7,Lost,Tamil Nadu
M VIJAY,Independent,427,ARAKKONAM - 7,Lost,Tamil Nadu
G SUDHAKAR,Independent,380,ARAKKONAM - 7,Lost,Tamil Nadu
K VENKATESAN,Independent,264,ARAKKONAM - 7,Lost,Tamil Nadu
NOTA,None of the Above,12613,ARAKKONAM - 7,Lost,Tamil Nadu
THARANIVENTHAN M S,Dravida Munnetra Kazhagam,500099,ARANI - 12,Won,Tamil Nadu
"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,291333,ARANI - 12,Lost,Tamil Nadu
DR GANESH KUMAR A ME PHD,Pattali Makkal Katchi,236571,ARANI - 12,Lost,Tamil Nadu
"BAKIYALAKSHMI, K.",Naam Tamilar Katchi,66740,ARANI - 12,Lost,Tamil Nadu
"MANIGANDAN, V.",Independent,4808,ARANI - 12,Lost,Tamil Nadu
"GANESH KUMAR, U.",Independent,3812,ARANI - 12,Lost,Tamil Nadu
DURAI  M,Bahujan Samaj Party,3685,ARANI - 12,Lost,Tamil Nadu
"GAJENDRAN, J.",Independent,3400,ARANI - 12,Lost,Tamil Nadu
"KARVANNAN, K.",Independent,3036,ARANI - 12,Lost,Tamil Nadu
"GAJENDIRAN, E.",Independent,2613,ARANI - 12,Lost,Tamil Nadu
"KOTTAI VENKATESAN, M.",Independent,1908,ARANI - 12,Lost,Tamil Nadu
"SENTHIL KUMAR, D.",Independent,1475,ARANI - 12,Lost,Tamil Nadu
"SEKAR, N.",Independent,1400,ARANI - 12,Lost,Tamil Nadu
SAKTHIVEL A,Thakkam Katchi,1186,ARANI - 12,Lost,Tamil Nadu
"GANESH, P.",Independent,980,ARANI - 12,Lost,Tamil Nadu
NAGARAJAN P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,927,ARANI - 12,Lost,Tamil Nadu
CAPTAIN SETTU M,Viro Ke Vir Indian Party,922,ARANI - 12,Lost,Tamil Nadu
"JAISANKAR, M.",Independent,840,ARANI - 12,Lost,Tamil Nadu
EZHIL ARASU M,Independent,753,ARANI - 12,Lost,Tamil Nadu
BABU N,Independent,674,ARANI - 12,Lost,Tamil Nadu
"DURUGAN, M.",United Republican Party of India,604,ARANI - 12,Lost,Tamil Nadu
MOHMMAD SIDDIQ M H,Independent,528,ARANI - 12,Lost,Tamil Nadu
